"individuo","P_pareto","contagem","familia","cruzamento","IR_comercial","IR_res_sc","IR_final","P_severo_media","var_pred_medio"
"97",0.304,152,1,"293 x 355",0.565013716916111,0.428129453556513,1.2162366636648,0.0480437877668558,55.8120524897411
"9",0.248,124,1,"293 x 355",0.510934084014439,0.928304329650846,1.24441064389637,0.0480437877668558,57.3345059198762
"131",0.238,119,1,"293 x 355",0.414682688197661,0.928304329650846,1.23288931603143,0.0480437877668558,54.1068456578285
"96",0.224,112,1,"293 x 355",0.53196921570851,0.428129453556513,1.10230187105911,0.0480437877668558,56.6619119293865
"128",0.214,107,1,"293 x 355",0.411711824240233,0.928304329650846,1.00153278731186,0.0480437877668558,58.2162211390818
"223",0.208,104,1,"293 x 355",0.39898341969681,-0.105575651981699,0.798380059370141,0.0480437877668558,54.3025520453996
"2",0.202,101,1,"293 x 355",0.515819292775716,0.928304329650846,1.26668971850973,0.0480437877668558,56.6261103566288
"83",0.202,101,1,"293 x 355",0.359168648759754,0.928304329650846,0.997057871042527,0.0480437877668558,57.498736479589
"222",0.182,91,1,"293 x 355",0.367956428541865,0.928304329650846,0.967862155412801,0.0480437877668558,58.0800602177565
"237",0.182,91,1,"293 x 355",0.434137649070695,0.928304329650846,1.08260510038518,0.0480437877668558,58.2394348713652
"86",0.182,91,1,"293 x 355",0.395857087601743,0.928304329650846,1.02537093768492,0.0480437877668558,58.0530712263851
"94",0.174,87,1,"293 x 355",0.389249377678316,0.285808092079656,0.680861657593873,0.0480437877668558,59.8565139662205
"138",0.168,84,1,"293 x 355",0.414665010072438,0.401561705083836,0.920451885279547,0.049198836075063,56.0451125050885
"18",0.168,84,1,"293 x 355",0.319491599504821,0.928304329650846,0.88852004375446,0.0480437877668558,57.2350644013939
"82",0.168,84,1,"293 x 355",0.255792807768233,0.928304329650846,0.913329494164645,0.0480437877668558,55.9402738231881
"233",0.166,83,1,"293 x 355",0.121040748050937,0.928304329650846,0.670171493874244,0.0480437877668558,55.9095643764032
"122",0.156,78,1,"293 x 355",0.38428133487904,-0.425798715304627,0.45189309483287,0.0480437877668558,58.4562190258298
"130",0.156,78,1,"293 x 355",0.242274331874719,0.928304329650846,0.807431574778863,0.0480437877668558,56.5559218358801
"4",0.152,76,1,"293 x 355",0.258234699354321,0.928304329650846,0.945085545127763,0.0480437877668558,55.1789661082592
"235",0.15,75,1,"293 x 355",0.333589606011142,0.928304329650846,0.819801454160666,0.0480437877668558,60.3593153054262
"221",0.142,71,1,"293 x 355",0.331899529367405,0.928304329650846,0.959204315151175,0.0480437877668558,57.198007571763
"140",0.138,69,1,"293 x 355",0.419909017799104,-0.556229856981449,0.481483560144501,0.0490737295292447,57.9358394557121
"189",0.138,69,3,"516 x 355",0.116424804226805,-1.14662248758646,0.127875392305103,0.116507043783214,54.4659112374541
"100",0.136,68,1,"293 x 355",0.367777736002106,0.928304329650846,0.811247294185487,0.0480437877668558,60.2581643925376
"88",0.136,68,1,"293 x 355",0.360283133021656,-0.496959396043055,0.426924021933595,0.0480437877668558,56.1145397568002
"15",0.128,64,1,"293 x 355",0.107435414242826,0.928304329650846,0.485784713538494,0.0480437877668558,59.2545956009428
"95",0.124,62,1,"293 x 355",0.261337373699104,0.428129453556513,0.723750046414254,0.0480437877668558,55.5064797754431
"133",0.118,59,1,"293 x 355",0.367395315955857,-0.354638034566198,0.355470241705888,0.0480437877668558,60.4435952620569
"89",0.114,57,1,"293 x 355",0.18339817911048,0.928304329650846,0.645515289567738,0.0480437877668558,58.6490582052018
"10",0.112,56,1,"293 x 355",0.237496160631301,0.928304329650846,0.718297020908914,0.0480437877668558,59.4210939630199
"12",0.108,54,1,"293 x 355",0.283692730228117,0.928304329650846,0.742059747848983,0.0480437877668558,60.2520376712809
"17",0.1,50,1,"293 x 355",0.31328841354881,-0.212316673089342,0.274642403072778,0.0480437877668558,61.567798173128
"236",0.1,50,1,"293 x 355",0.221362137978658,0.928304329650846,0.648824642729463,0.0480437877668558,60.0765235634236
"84",0.1,50,1,"293 x 355",0.13901896090842,0.928304329650846,0.580694374989801,0.0480437877668558,58.6193909213323
"34",0.096,48,2,"501 x 355",-0.313826393504385,0.714582989609338,-0.202470724811545,0.0573354472575569,57.8067773320058
"90",0.096,48,1,"293 x 355",0.288565640297114,-0.105575651981699,0.402337156899512,0.0480437877668558,58.853444359066
"11",0.094,47,1,"293 x 355",0.354216333331171,-0.354638034566198,0.348353381098065,0.0480437877668558,60.0337439888156
"232",0.094,47,1,"293 x 355",0.27764745355522,0.928304329650846,0.837925757919866,0.0480437877668558,57.4506153229555
"124",0.09,45,1,"293 x 355",0.101358489617748,0.928304329650846,0.548800670841047,0.0480437877668558,57.7557873053105
"134",0.09,45,1,"293 x 355",0.0633748464142402,0.928304329650846,0.36812851488175,0.0480437877668558,60.393712957549
"99",0.09,45,1,"293 x 355",0.052210628138475,0.928304329650846,0.274135586143355,0.0480437877668558,62.0404038407208
"136",0.088,44,1,"293 x 355",0.338652243907167,-0.496959396043055,0.295465986643566,0.0480437877668558,59.2447052196477
"98",0.086,43,1,"293 x 355",0.153956125075195,0.928304329650846,0.609225483285125,0.0480437877668558,58.3438573370495
"110",0.084,42,3,"516 x 355",0.219849937089495,-1.89380963533996,-0.45390303161511,0.116507043783214,60.2952886862999
"148",0.084,42,3,"516 x 355",0.203696704004731,-0.646447611492127,-0.0328528702133701,0.116507043783214,61.4595003866967
"135",0.082,41,1,"293 x 355",0.164345650929183,0.179067070972014,0.320248877829518,0.0480437877668558,58.5996462566905
"3",0.082,41,1,"293 x 355",0.176480090558238,0.928304329650846,0.743506098801655,0.0480437877668558,56.1855548660915
"157",0.078,39,3,"516 x 355",0.0950547765477529,-2.53630587291115,-0.843309306284845,0.116507043783214,58.5999763755432
"81",0.074,37,1,"293 x 355",-0.095477641173415,0.395976905430661,-0.0204966371462236,0.049441638486329,58.746963761787
"43",0.07,35,3,"516 x 355",0.0511148639791412,-1.78706861423231,-0.508282695873936,0.116507043783214,56.2413405444533
"118",0.066,33,3,"516 x 355",0.0830951342812275,-1.85028109510404,-0.604240174452057,0.119255243133398,58.8661598709536
"209",0.062,31,2,"501 x 355",-0.33318558097984,0.714582989609338,-0.434548419265414,0.0573354472575569,61.7134462011055
"13",0.058,29,1,"293 x 355",0.26815450950206,-0.496959396043055,0.0931501719672871,0.0480437877668558,59.5487155577825
"212",0.058,29,2,"501 x 355",-0.328898834275849,0.714582989609338,-0.361288632621986,0.0573354472575569,60.6221006243393
"70",0.058,29,2,"501 x 355",-0.552764992130858,0.714582989609338,-0.760762257003214,0.0573354472575569,61.3423730683689
"149",0.056,28,3,"516 x 355",-0.100990395924746,-0.646447611492127,-0.178932331357782,0.116507043783214,53.7971257832208
"161",0.054,27,2,"501 x 355",-0.261521848248021,-0.746261076453777,-0.646790422682441,0.0573354472575569,56.5840085461606
"172",0.054,27,2,"501 x 355",-0.41126958134715,0.714582989609338,-0.423824368692765,0.0573354472575569,59.119842466481
"162",0.052,26,2,"501 x 355",-0.421607574952119,0.175950493417343,-0.369819161965428,0.0590074146460302,53.098271038101
"181",0.052,26,3,"516 x 355",0.00972379244243568,-0.646447611492127,-0.334192836725593,0.116507043783214,60.7753523663713
"167",0.05,25,2,"501 x 355",-0.42728927488112,0.714582989609338,-0.411684858948012,0.0573354472575569,57.1050828946632
"76",0.05,25,2,"501 x 355",-0.49218389295574,-0.42603801313085,-0.846341014723543,0.0573354472575569,55.1563760634654
"115",0.048,24,3,"516 x 355",-0.333345880021731,-0.646447611492127,-0.866541197413828,0.116507043783214,60.1712250320787
"150",0.048,24,3,"516 x 355",-0.00250277901497644,-1.39568487017096,-0.605742871049589,0.116507043783214,59.9998589986467
"51",0.048,24,3,"516 x 355",-0.0270715183434391,-1.60916691238624,-0.838083490916952,0.116507043783214,61.8155829839259
"185",0.046,23,3,"516 x 355",-0.0252294458910931,-1.78706861423231,-0.887639098392328,0.116507043783214,61.2734963026242
"55",0.044,22,3,"516 x 355",0.0766379718823902,-2.57188621328036,-0.898121567696978,0.116507043783214,58.9930754718388
"62",0.044,22,2,"501 x 355",-0.61060347743488,0.714582989609338,-0.719072067771842,0.0573354472575569,57.972560495481
"204",0.042,21,2,"501 x 355",-0.583841833577592,-0.568359374607707,-1.22031729137381,0.0573354472575569,58.8180066219452
"210",0.042,21,2,"501 x 355",-0.401809925899441,0.214408113515005,-0.721540954675203,0.0573354472575569,59.7392689262968
"23",0.042,21,2,"501 x 355",-0.440918366607548,0.714582989609338,-0.46846033195164,0.0573354472575569,59.029526886106
"29",0.042,21,2,"501 x 355",-0.311755814492088,-0.42603801313085,-0.732175431252523,0.0573354472575569,59.3841766216109
"53",0.042,21,3,"516 x 355",-0.0550992233992546,-1.96497031607839,-1.00694903273106,0.116507043783214,61.307459521627
"132",0.04,20,1,"293 x 355",0.131374250470875,-0.212316673089342,0.0321275906490392,0.0480437877668558,58.6593611755655
"177",0.04,20,2,"501 x 355",-0.516171043743576,-0.42603801313085,-1.26599431240102,0.0573354472575569,63.2721236307753
"32",0.04,20,2,"501 x 355",-0.828126583544636,0.714582989609338,-1.14232923927185,0.0573354472575569,59.3999865014301
"101",0.038,19,3,"516 x 355",-0.0237105660240758,-2.07171133718603,-0.822798369332022,0.116507043783214,57.5105178634346
"154",0.038,19,3,"516 x 355",-0.244608638490224,-1.60916691238624,-1.19833403740118,0.116507043783214,61.8226562880974
"192",0.038,19,3,"516 x 355",-0.134736991808267,-0.646447611492127,-0.527854092669606,0.116507043783214,58.0628884739446
"194",0.038,19,3,"516 x 355",-0.237206593469593,-1.28894384906332,-1.0135833004325,0.116507043783214,61.0278381093163
"24",0.034,17,2,"501 x 355",-0.54251564380759,0.714582989609338,-0.697041530814429,0.0573354472575569,58.7548528767932
"201",0.032,16,2,"501 x 355",-0.700919830034671,-0.710680736084563,-1.45594802613088,0.0573354472575569,58.370899980438
"175",0.028,14,2,"501 x 355",-0.803972278606549,0.714582989609338,-1.11811615742421,0.0573354472575569,59.5691167604539
"103",0.026,13,3,"516 x 355",-0.105839884073712,-1.78706861423231,-1.1703748366054,0.116507043783214,63.7550366717979
"22",0.02,10,2,"501 x 355",-0.696846264441529,-0.710680736084563,-1.6838032392689,0.0573354472575569,61.5366217029583
"178",0.016,8,2,"501 x 355",-0.491324630228479,-0.42603801313085,-1.19471303602427,0.0573354472575569,60.9030258439004
