"individuo","familia","cruzamento","IR_comercial","IR_res_sc","IR_est_sc","IR_final","rank_final","P_severo_media","estab_media","var_pred_medio","precisao_media"
"10","1","293 x 355",0.237496160631301,0.928304329650846,0.263070830769591,0.718297020908914,24,0.0480437877668558,6.20873335654678,59.4210939630199,0.219418542386007
"100","1","293 x 355",0.367777736002106,0.928304329650846,-1.45723311392815,0.811247294185487,18,0.0480437877668558,18.9482811769468,60.2581643925376,0.218995526306083
"101","3","516 x 355",-0.0237105660240758,-2.07171133718603,0.403850353946205,-0.822798369332022,75,0.116507043783214,5.14728462994292,57.5105178634346,0.236421078081757
"103","3","516 x 355",-0.105839884073712,-1.78706861423231,-0.337357377962207,-1.1703748366054,88,0.116507043783214,10.8354050998916,63.7550366717979,0.213888028061933
"11","1","293 x 355",0.354216333331171,-0.354638034566198,-0.205308579241897,0.348353381098065,41,0.0480437877668558,9.79753615742291,60.0337439888156,0.228118489211332
"110","3","516 x 355",0.219849937089495,-1.89380963533996,0.789448483257944,-0.45390303161511,62,0.116507043783214,2.30039722417962,60.2952886862999,0.220068906994846
"115","3","516 x 355",-0.333345880021731,-0.646447611492127,0.912264103454374,-0.866541197413828,81,0.116507043783214,1.6660105820141,60.1712250320787,0.217295323490086
"118","3","516 x 355",0.0830951342812275,-1.85028109510404,0.685147746549424,-0.604240174452057,66,0.119255243133398,3.17942126365342,58.8661598709536,0.230987160283005
"12","1","293 x 355",0.283692730228117,0.928304329650846,-0.0394154576678316,0.742059747848983,22,0.0480437877668558,8.45217593696589,60.2520376712809,0.222964569093211
"122","1","293 x 355",0.38428133487904,-0.425798715304627,-0.0204313121964901,0.45189309483287,34,0.0480437877668558,8.70783022998218,58.4562190258298,0.226138784736374
"124","1","293 x 355",0.101358489617748,0.928304329650846,-0.114094869207757,0.548800670841047,31,0.0480437877668558,8.7814028067918,57.7557873053105,0.23227366716033
"128","1","293 x 355",0.411711824240233,0.928304329650846,-0.997058582214941,1.00153278731186,8,0.0480437877668558,15.9224012075106,58.2162211390818,0.235992332784996
"13","1","293 x 355",0.26815450950206,-0.496959396043055,-1.74387150790715,0.0931501719672871,49,0.0480437877668558,20.8966293820366,59.5487155577825,0.232282918741563
"130","1","293 x 355",0.242274331874719,0.928304329650846,-0.749988734000106,0.807431574778863,19,0.0480437877668558,13.9225028981119,56.5559218358801,0.237793925843028
"131","1","293 x 355",0.414682688197661,0.928304329650846,-0.250126064228025,1.23288931603143,3,0.0480437877668558,10.2649266335496,54.1068456578285,0.248158185208739
"132","1","293 x 355",0.131374250470875,-0.212316673089342,-1.49330099288493,0.0321275906490392,50,0.0480437877668558,19.0052125942158,58.6593611755655,0.238455185198785
"133","1","293 x 355",0.367395315955857,-0.354638034566198,-0.125854061619078,0.355470241705888,40,0.0480437877668558,9.14300389331929,60.4435952620569,0.220872779450126
"134","1","293 x 355",0.0633748464142402,0.928304329650846,-0.0322999620331789,0.36812851488175,39,0.0480437877668558,8.50523255891006,60.393712957549,0.218166840911089
"135","1","293 x 355",0.164345650929183,0.179067070972014,-0.017649701441831,0.320248877829518,44,0.0480437877668558,8.38959390224517,58.5996462566905,0.228118741803793
"136","1","293 x 355",0.338652243907167,-0.496959396043055,-0.330863723954642,0.295465986643566,45,0.0480437877668558,10.9186591451196,59.2447052196477,0.225711509177683
"138","1","293 x 355",0.414665010072438,0.401561705083836,-0.500954354738385,0.920451885279547,13,0.049198836075063,9.44737186870322,56.0451125050885,0.242006217481921
"140","1","293 x 355",0.419909017799104,-0.556229856981449,-0.0534133655367471,0.481483560144501,33,0.0490737295292447,8.64435288123042,57.9358394557121,0.234712808951243
"148","3","516 x 355",0.203696704004731,-0.646447611492127,0.84202161922616,-0.0328528702133701,53,0.116507043783214,1.95966347421617,61.4595003866967,0.219158506131961
"149","3","516 x 355",-0.100990395924746,-0.646447611492127,1.04240147201596,-0.178932331357782,54,0.116507043783214,1.07102863750177,53.7971257832208,0.24757932608248
"15","1","293 x 355",0.107435414242826,0.928304329650846,-0.198248520589662,0.485784713538494,32,0.0480437877668558,9.77608468917022,59.2545956009428,0.222304336216236
"150","3","516 x 355",-0.00250277901497644,-1.39568487017096,0.919149288754268,-0.605742871049589,67,0.116507043783214,1.53292834836052,59.9998589986467,0.220269226010291
"152","3","516 x 355",-0.034573981044558,0,0.655532689248981,0.00517992655586427,51,NA,3.36406431455025,57.4052334984137,0.220961265187635
"154","3","516 x 355",-0.244608638490224,-1.60916691238624,0.535112751491392,-1.19833403740118,90,0.116507043783214,3.28118892426214,61.8226562880974,0.209662407596498
"157","3","516 x 355",0.0950547765477529,-2.53630587291115,0.747772682081514,-0.843309306284845,79,0.116507043783214,2.54855655012934,58.5999763755432,0.22485399693267
"16","1","293 x 355",0.255275523930029,0,-0.646118037068895,0.322443271645215,43,NA,13.1347959392771,59.6113150348453,0.225067483669606
"161","2","501 x 355",-0.261521848248021,-0.746261076453777,0.407339212740542,-0.646790422682441,68,0.0573354472575569,5.14629396819541,56.5840085461606,0.240078658651299
"162","2","501 x 355",-0.421607574952119,0.175950493417343,0.706378078142907,-0.369819161965428,58,0.0590074146460302,3.77139214923121,53.098271038101,0.258588674431552
"166","2","501 x 355",-0.647907220540697,0,-0.0296517131592239,-1.31874563747831,93,NA,8.52445301642256,63.1839793528212,0.214999917421364
"167","2","501 x 355",-0.42728927488112,0.714582989609338,-0.563663870502241,-0.411684858948012,59,0.0573354472575569,12.3977683600365,57.1050828946632,0.242480470980863
"17","1","293 x 355",0.31328841354881,-0.212316673089342,-0.0402316924520661,0.274642403072778,46,0.0480437877668558,8.55244474498177,61.567798173128,0.217211367269297
"170","2","501 x 355",-0.420064966654433,0,-0.20393510442317,-0.833940060793091,76,NA,9.84340185327117,60.7235741753453,0.221568118531303
"172","2","501 x 355",-0.41126958134715,0.714582989609338,0.512492855724438,-0.423824368692765,60,0.0573354472575569,4.17197758540168,59.119842466481,0.230807067358034
"175","2","501 x 355",-0.803972278606549,0.714582989609338,0.150541516544991,-1.11811615742421,86,0.0573354472575569,7.49672739041953,59.5691167604539,0.220040715275192
"177","2","501 x 355",-0.516171043743576,-0.42603801313085,0.116724117737749,-1.26599431240102,92,0.0573354472575569,7.97498822515769,63.2721236307753,0.213472363670258
"178","2","501 x 355",-0.491324630228479,-0.42603801313085,-1.46695051410411,-1.19471303602427,89,0.0573354472575569,19.2172478138996,60.9030258439004,0.226192009146527
"18","1","293 x 355",0.319491599504821,0.928304329650846,-1.08126788587391,0.88852004375446,15,0.0480437877668558,16.3136972061488,57.2350644013939,0.231864462602077
"181","3","516 x 355",0.00972379244243568,-0.646447611492127,0.661591142491177,-0.334192836725593,56,0.116507043783214,3.55526676724438,60.7753523663713,0.216272996989796
"185","3","516 x 355",-0.0252294458910931,-1.78706861423231,0.342898978485489,-0.887639098392328,82,0.116507043783214,6.03622955667964,61.2734963026242,0.216554274648033
"189","3","516 x 355",0.116424804226805,-1.14662248758646,4.53682252106379,0.127875392305103,48,0.116507043783214,2.79371443528054,54.4659112374541,0.241232108297988
"192","3","516 x 355",-0.134736991808267,-0.646447611492127,-0.884486652346955,-0.527854092669606,65,0.116507043783214,15.3025965696181,58.0628884739446,0.237238706904116
"194","3","516 x 355",-0.237206593469593,-1.28894384906332,0.68991523300156,-1.0135833004325,85,0.116507043783214,3.10724989411107,61.0278381093163,0.216826617748622
"2","1","293 x 355",0.515819292775716,0.928304329650846,-0.632634824047356,1.26668971850973,1,0.0480437877668558,12.8268306543796,56.6261103566288,0.222963486673697
"201","2","501 x 355",-0.700919830034671,-0.710680736084563,0.25310088453838,-1.45594802613088,94,0.0573354472575569,6.75154062051206,58.370899980438,0.23502179105722
"204","2","501 x 355",-0.583841833577592,-0.568359374607707,0.329837498044638,-1.22031729137381,91,0.0573354472575569,5.74085568121677,58.8180066219452,0.227876863276981
"208","2","501 x 355",-0.452503663058888,0,-0.437784976207176,-0.840328456458026,78,NA,7.81803647529564,59.4312522897289,0.217765922171149
"209","2","501 x 355",-0.33318558097984,0.714582989609338,0.0775128121911776,-0.434548419265414,61,0.0573354472575569,7.73071488033751,61.7134462011055,0.216430473137648
"210","2","501 x 355",-0.401809925899441,0.214408113515005,-1.18632255336633,-0.721540954675203,72,0.0573354472575569,17.2003977416327,59.7392689262968,0.220431750889497
"212","2","501 x 355",-0.328898834275849,0.714582989609338,0.395452758906911,-0.361288632621986,57,0.0573354472575569,5.3206650766093,60.6221006243393,0.220060288083637
"22","2","501 x 355",-0.696846264441529,-0.710680736084563,-1.52723679705103,-1.6838032392689,95,0.0573354472575569,19.7488017407262,61.5366217029583,0.224549400457093
"221","1","293 x 355",0.331899529367405,0.928304329650846,-0.11592109715994,0.959204315151175,11,0.0480437877668558,9.16737156001824,57.198007571763,0.239911310017242
"222","1","293 x 355",0.367956428541865,0.928304329650846,-0.334963801272573,0.967862155412801,10,0.0480437877668558,10.784973838323,58.0800602177565,0.236817748451496
"223","1","293 x 355",0.39898341969681,-0.105575651981699,0.0349223489266772,0.798380059370141,20,0.0480437877668558,7.5569142037621,54.3025520453996,0.240770277795976
"23","2","501 x 355",-0.440918366607548,0.714582989609338,0.526509208423634,-0.46846033195164,63,0.0573354472575569,4.32996050414948,59.029526886106,0.226075767524697
"232","1","293 x 355",0.27764745355522,0.928304329650846,-0.497845671147924,0.837925757919866,16,0.0480437877668558,13.1191768311357,57.4506153229555,0.228583208253013
"233","1","293 x 355",0.121040748050937,0.928304329650846,-0.04247713295729,0.670171493874244,26,0.0480437877668558,9.21177341490328,55.9095643764032,0.236463525837611
"235","1","293 x 355",0.333589606011142,0.928304329650846,-0.0516994563162135,0.819801454160666,17,0.0480437877668558,8.61633562251437,60.3593153054262,0.220714960849685
"236","1","293 x 355",0.221362137978658,0.928304329650846,0.0153202834020989,0.648824642729463,27,0.0480437877668558,8.14681470838124,60.0765235634236,0.222594466288923
"237","1","293 x 355",0.434137649070695,0.928304329650846,-0.102947071837268,1.08260510038518,6,0.0480437877668558,8.67918345331403,58.2394348713652,0.231676965468999
"24","2","501 x 355",-0.54251564380759,0.714582989609338,-0.905982156480851,-0.697041530814429,70,0.0573354472575569,14.7037407902743,58.7548528767932,0.2457574930883
"240","1","293 x 355",0.223174674596216,0,-0.296231612899974,0.332299394258477,42,NA,10.6641210051472,58.612577118191,0.231630526635812
"29","2","501 x 355",-0.311755814492088,-0.42603801313085,0.391352051053502,-0.732175431252523,73,0.0573354472575569,5.36445934554786,59.3841766216109,0.224673593249824
"3","1","293 x 355",0.176480090558238,0.928304329650846,-0.17270843367807,0.743506098801655,21,0.0480437877668558,9.35896530956274,56.1855548660915,0.231970129610631
"32","2","501 x 355",-0.828126583544636,0.714582989609338,0.31706348187803,-1.14232923927185,87,0.0573354472575569,5.11659696584573,59.3999865014301,0.214617930282191
"34","2","501 x 355",-0.313826393504385,0.714582989609338,0.478248328585286,-0.202470724811545,55,0.0573354472575569,5.30525262375887,57.8067773320058,0.240428059299091
"4","1","293 x 355",0.258234699354321,0.928304329650846,0.203318795132994,0.945085545127763,12,0.0480437877668558,6.40634291608621,55.1789661082592,0.2329567744864
"43","3","516 x 355",0.0511148639791412,-1.78706861423231,0.75118691423484,-0.508282695873936,64,0.116507043783214,1.9520706006836,56.2413405444533,0.233354672323424
"51","3","516 x 355",-0.0270715183434391,-1.60916691238624,0.471066817770123,-0.838083490916952,77,0.116507043783214,4.82698204955198,61.8155829839259,0.217068029386274
"53","3","516 x 355",-0.0550992233992546,-1.96497031607839,0.408375693741625,-1.00694903273106,84,0.116507043783214,3.44690310536508,61.307459521627,0.21236348110659
"55","3","516 x 355",0.0766379718823902,-2.57188621328036,0.912709708105701,-0.898121567696978,83,0.116507043783214,2.48844073705908,58.9930754718388,0.228613924625902
"61","2","501 x 355",-0.340290769104875,0,0.348419769305366,-0.653535705829903,69,NA,5.68014809401432,60.2970482762061,0.222718621309304
"62","2","501 x 355",-0.61060347743488,0.714582989609338,0.206758856720365,-0.719072067771842,71,0.0573354472575569,6.75558400922216,57.972560495481,0.229065063140423
"70","2","501 x 355",-0.552764992130858,0.714582989609338,0.542544933021464,-0.760762257003214,74,0.0573354472575569,4.32280259020431,61.3423730683689,0.214897852605368
"76","2","501 x 355",-0.49218389295574,-0.42603801313085,0.241714425945585,-0.846341014723543,80,0.0573354472575569,6.78187805058543,55.1563760634654,0.244025988445761
"81","1","293 x 355",-0.095477641173415,0.395976905430661,0.241993984892527,-0.0204966371462236,52,0.049441638486329,6.44753407169444,58.746963761787,0.219851621459673
"82","1","293 x 355",0.255792807768233,0.928304329650846,0.350196361450812,0.913329494164645,14,0.0480437877668558,5.65543481254045,55.9402738231881,0.240994629119314
"83","1","293 x 355",0.359168648759754,0.928304329650846,0.00746053196169688,0.997057871042527,9,0.0480437877668558,8.23977863268588,57.498736479589,0.227690539689876
"84","1","293 x 355",0.13901896090842,0.928304329650846,0.061069063092865,0.580694374989801,30,0.0480437877668558,7.79992033560345,58.6193909213323,0.22774063267554
"86","1","293 x 355",0.395857087601743,0.928304329650846,-0.141093321801392,1.02537093768492,7,0.0480437877668558,9.32195835859166,58.0530712263851,0.22670173985777
"87","1","293 x 355",0.28675747304154,0,-0.693334593942027,0.382160237938958,38,NA,13.5826224118864,59.404248758754,0.220584568866326
"88","1","293 x 355",0.360283133021656,-0.496959396043055,-1.30390619940282,0.426924021933595,35,0.0480437877668558,18.0715935274115,56.1145397568002,0.23834799802335
"89","1","293 x 355",0.18339817911048,0.928304329650846,-0.0968308210752821,0.645515289567738,28,0.0480437877668558,8.97989650903284,58.6490582052018,0.227413075930285
"9","1","293 x 355",0.510934084014439,0.928304329650846,-0.263330970823372,1.24441064389637,2,0.0480437877668558,10.2834528892333,57.3345059198762,0.234323647613764
"90","1","293 x 355",0.288565640297114,-0.105575651981699,-0.01234949407108,0.402337156899512,37,0.0480437877668558,8.2928305773117,58.853444359066,0.232372178250013
"91","1","293 x 355",0.300525550743369,0,-0.4498962322725,0.405678578154341,36,NA,11.6607269068434,59.657182915598,0.218948426222776
"94","1","293 x 355",0.389249377678316,0.285808092079656,-0.011370254961175,0.680861657593873,25,0.0480437877668558,8.3646534079711,59.8565139662205,0.222061880387614
"95","1","293 x 355",0.261337373699104,0.428129453556513,-0.0242323766166625,0.723750046414254,23,0.0480437877668558,10.1175112429337,55.5064797754431,0.230668067487318
"96","1","293 x 355",0.53196921570851,0.428129453556513,-0.425222447578095,1.10230187105911,5,0.0480437877668558,11.3511105502075,56.6619119293865,0.235580277897494
"97","1","293 x 355",0.565013716916111,0.428129453556513,-0.0316794081234024,1.2162366636648,4,0.0480437877668558,8.7891750225589,55.8120524897411,0.246258357940149
"98","1","293 x 355",0.153956125075195,0.928304329650846,-0.120507942990944,0.609225483285125,29,0.0480437877668558,9.09938236074311,58.3438573370495,0.234080845716125
"99","1","293 x 355",0.052210628138475,0.928304329650846,-0.0243257886904301,0.274135586143355,47,0.0480437877668558,8.28379051197443,62.0404038407208,0.213798202984634
